Horodateur;Etes-vous :;Quel âge avez-vous ? (Juste mettre le nombre);De quelle province venez-vous ?;Habitez-vous :;Quel est votre code postal ?;En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Avant la Covid-19];En moyenne, combien de kilomètres effectuez-vous en voiture sur une année ?  [Après la Covid-19];Depuis la Covid-19, vos déplacements en voiture;Quel est votre plus haut niveau d'étude ?;Vous êtes :;Travaillez-vous dans le secteur de l'énergie et/ou dans le domaine de l'environnement ?;Comment décririez-vous le revenu actuel de votre ménage ?;Avez-vous déjà rencontré un des problèmes suivants : [Inondation];Avez-vous déjà rencontré un des problèmes suivants : [Incendie];Avez-vous déjà rencontré un des problèmes suivants : [Pollution];Avant de participer à cette enquête, aviez-vous déjà entendu parler de l'utilisation de l'hydrogène dans le contexte de la production d'énergie ?;Evaluez votre connaissance à ce propos;Que pensez-vous de l'utilisation de l'hydrogène comme solution possible aux défis énergétiques et environnementaux ?;Avez-vous déjà pensé à acheter une voiture à hydrogène ? ;Comparées aux voitures à hydrogène, je pense que [Les voitures conventionnelles sont];Comparées aux voitures à hydrogène, je pense que [Les voitures hybrides sont];Comparées aux voitures à hydrogène, je pense que [Les voitures électriques sont];Comparées aux voitures à hydrogène, je pense que [Les voitures au gaz naturel comprimé (GNC) ou au gaz naturel liquéfié (GNL) sont]; [Etre mieux informé.e sur ce sujet]; [Pouvoir contribuer à l'élaboration des lois associées]; [Prix d'achat de la voiture à hydrogène]; [Prix de l'hydrogène]; [Prix des autres carburants]; [Sécurité de l'hydrogène]; [La présence de stations à hydrogène]; [Autonomie]; [Diminution des importations de combustibles]; [Réduction des émissions de gaz à effet de serre à l'origine du changement climatique]; [Réduction de la pollution atmosphérique locale dans les zones urbaines]; [Création d'opportunités pour les industries belges afin d'accroître leur capacité à fournir des technologies innovantes];"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [tout est égal (prix, confort, maintenance,..) aux autres sortes de voiture]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [des subsides sont fournis à l'achat]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à diesel sont bannies des villes]";"A quel degré seriez-vous intéressé.e par l'achat d'une voiture à hydrogène si ... (sur une échelle de ""Pas du tout intéressé.e"" à ""Fortement intéressé.e"") [les voitures à essence sont bannies des villes]";Si une limitation de kilomètres par an pouvant être réalisés par des voitures polluantes (diesel/essence) existait, à quelle limitation passeriez-vous à une voiture plus propre ? 
1/6/2022 11:58:54;Homme;78;Liège;En périphérie;4031;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Doctorat;Retraité;Non;Je vis confortablement avec mon revenu actuel;Non;Oui;Non;Oui;3;3;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Très important;Moyennement important;Très important;Moyennement important;Fort important;Moyennement important;Très important;Très important;Peu important;Pas du tout important;Fort important;Fort important;Peu intéressé.e;Un peu intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;10 000 km
1/6/2022 13:07:09;Homme;24;Liège;En centre ville;4000;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Oui;2;3;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une solution égale;Très important;Moyennement important;Fort important;Fort important;Fort important;Moyennement important;Très important;Fort important;Très important;Très important;Très important;Peu important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/6/2022 13:16:36;Homme;54;Brabant Wallon;A la campagne;1357;Plus de 20 000;Plus de 20 000;sont restés stables;Doctorat;Employé;Oui;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une solution égale;Fort important;Peu important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Très important;Très important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/6/2022 15:24:04;Homme;22;Liège;En centre ville;4500;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Etudiant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Oui;4;3;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Fort important;Peu important;Très important;Très important;Fort important;Fort important;Très important;Très important;Fort important;Très important;Très important;Fort important;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/6/2022 16:55:47;Homme;39;Liège;A la campagne;4540;Plus de 20 000;Entre 15 000 et 20 000;Ont diminué;Bachelier;Indépendant;Oui;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;5;Non;Une solution égale;Une solution égale;Une moins bonne solution;Une moins bonne solution;Très important;Très important;Fort important;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Moyennement important;Très important;Un peu intéressé.e;Un peu intéressé.e;Peu intéressé.e;Peu intéressé.e;1 000 km
1/6/2022 17:54:15;Homme;23;Hainaut;A la campagne;7903;Moins de 10 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;2;4;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une moins bonne solution;Très important;Pas du tout important;Fort important;Fort important;Fort important;Très important;Très important;Fort important;Moyennement important;Très important;Fort important;Fort important;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/6/2022 17:56:21;Homme;25;Liège;En périphérie;4400;Moins de 10 000;Moins de 10 000;Ont diminué;Master;Etudiant;Non;Je vis très confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;3;Non;Une moins bonne solution;Une moins bonne solution;Une meilleure solution;Une solution égale;Peu important;Moyennement important;Fort important;Très important;Très important;Très important;Très important;Très important;Peu important;Moyennement important;Moyennement important;Pas du tout important;Peu intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;1 000 km
1/6/2022 18:07:24;Homme;27;Liège;En centre ville;4030;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Peu important;Peu important;Fort important;Fort important;Fort important;Moyennement important;Très important;Fort important;Peu important;Moyennement important;Moyennement important;Moyennement important;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/6/2022 18:08:10;Femme;59;Région de Bruxelles-Capitale;En centre ville;1040;Moins de 10 000;Moins de 10 000;sont restés stables;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Non;Oui;1;3;Non;Une meilleure solution;Une meilleure solution;Une solution égale;Une solution égale;Fort important;Pas du tout important;Très important;Très important;Très important;Fort important;Très important;Très important;Peu important;Pas du tout important;Peu important;Moyennement important;Pas du tout intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/6/2022 18:09:42;Homme;68;Liège;En périphérie;4102;Moins de 10 000;Moins de 10 000;Ont diminué;Graduat;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;4;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une meilleure solution;Fort important;Peu important;Fort important;Fort important;Très important;Fort important;Fort important;Fort important;Fort important;Très important;Très important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;5 000 km
1/6/2022 18:33:31;Femme;25;Liège;A la campagne;4540;Moins de 10 000;Plus de 20 000;Ont augmenté;Master;Indépendant;Oui;Il est très difficile de vivre avec mon revenu actuel.;Non;Non;Non;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Moyennement important;Très important;Fort important;Très important;Très important;Fort important;Fort important;Très important;Très important;Très important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Fortement intéressé.e;20 000 km
1/6/2022 19:47:02;Femme;22;Liège;A la campagne;4550;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Bachelier;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;1;2;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Peu important;Peu important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Moyennement important;Fort important;Fort important;Moyennement important;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;20 000 km
1/6/2022 20:32:28;Femme;24;Liège;En périphérie;4101;Moins de 10 000;Moins de 10 000;Ont diminué;Master;Etudiant;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Oui;Non;1;3;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Très important;Peu important;Très important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/6/2022 21:15:00;Femme;24;Liège;En périphérie;4000;Moins de 10 000;Moins de 10 000;Ont augmenté;Bachelier;Employé;Non;Je vis très confortablement avec mon revenu actuel;Non;Non;Oui;Oui;1;3;Non;Une solution égale;Une meilleure solution;Une solution égale;Une moins bonne solution;Très important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Fort important;Peu important;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Fortement intéressé.e;10 000 km
1/6/2022 23:11:45;Femme;24;Liège;En centre ville;4000;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Non;1;5;Non;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Pas du tout important;Fort important;Fort important;Fort important;Fort important;Très important;Très important;Peu important;Très important;Très important;Peu important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/6/2022 23:15:53;Homme;19;Liège;En périphérie;4032;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Etudiant;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Non;Oui;2;4;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une meilleure solution;Une solution égale;Une moins bonne solution;Une solution égale;Moyennement important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Pas du tout important;Pas du tout important;Pas du tout important;Très important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/7/2022 3:00:22;Femme;24;Liège;En centre ville;4000;Plus de 20 000;Plus de 20 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;3;Non;Une moins bonne solution;Une meilleure solution;Une solution égale;Une moins bonne solution;Très important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Très important;Très important;Très important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Un peu intéressé.e;Pas du tout intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/7/2022 17:09:02;Femme;72;Liège;En périphérie;4051;Moins de 10 000;Moins de 10 000;sont restés stables;Secondaire;Retraité;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Non;Oui;1;4;Non;Une solution égale;Une meilleure solution;Une moins bonne solution;Une solution égale;Moyennement important;Peu important;Très important;Très important;Moyennement important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Un peu intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;10 000 km
1/7/2022 18:55:56;Homme;25;Liège;En centre ville;4000;Entre 10 000 et 15 000;Entre 10 000 et 15 000;Ont diminué;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Oui;Oui;3;4;Non;Une moins bonne solution;Une moins bonne solution;Une meilleure solution;Une moins bonne solution;Peu important;Peu important;Peu important;Moyennement important;Peu important;Peu important;Moyennement important;Peu important;Fort important;Très important;Très important;Moyennement important;Peu intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;1 000 km
1/7/2022 22:26:08;Homme;24;Liège;A la campagne;4900;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Indépendant;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;2;4;Non;Une solution égale;Une solution égale;Une solution égale;Une moins bonne solution;Fort important;Fort important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Fort important;Moyennement important;Moyennement important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Fortement intéressé.e;20 000 km
1/7/2022 22:34:26;Homme;22;Brabant Wallon;En centre ville;1348;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Bachelier;Etudiant;Non;Il est difficile de vivre avec mon revenu actuel;Oui;Non;Oui;Oui;4;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Moyennement important;Très important;Très important;Très important;Moyennement important;Fort important;Fort important;Moyennement important;Très important;Très important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;1 000 km
1/8/2022 14:16:51;Homme;66;Région de Bruxelles-Capitale;En centre ville;1040;Entre 15 000 et 20 000;Moins de 10 000;Ont diminué;Secondaire;Retraité;Non;Il est difficile de vivre avec mon revenu actuel;Oui;Non;Non;Oui;3;4;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une solution égale;Très important;Moyennement important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;5 000 km
1/8/2022 14:34:13;Homme;37;Liège;En périphérie;4161;Entre 15 000 et 20 000;Entre 15 000 et 20 000;sont restés stables;Doctorat;Employé;Non;Je vis confortablement avec mon revenu actuel;Oui;Non;Oui;Oui;5;4;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une meilleure solution;Une meilleure solution;Une solution égale;Une moins bonne solution;Très important;Peu important;Moyennement important;Moyennement important;Fort important;Très important;Très important;Fort important;Moyennement important;Très important;Très important;Moyennement important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;20 000 km
1/8/2022 22:06:38;Femme;49;Liège;En périphérie;4430;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;2;5;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une moins bonne solution;Très important;Moyennement important;Fort important;Fort important;Moyennement important;Très important;Fort important;Très important;Moyennement important;Très important;Très important;Très important;Fortement intéressé.e;Un peu intéressé.e;Pas du tout intéressé.e;Moyennement intéressé.e;10 000 km
1/9/2022 9:09:52;Femme;24;Brabant Wallon;En périphérie;4460;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;1;3;Non;Une moins bonne solution;Une meilleure solution;Une solution égale;Une solution égale;Très important;Moyennement important;Très important;Fort important;Fort important;Fort important;Très important;Fort important;Fort important;Très important;Moyennement important;Moyennement important;Un peu intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
1/9/2022 21:15:10;Homme;54;Liège;En périphérie;4030;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Master;Indépendant;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;2;4;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Très important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/9/2022 21:47:38;Homme;56;Hainaut;A la campagne;7950;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Secondaire;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;1;3;Non;Une solution égale;Une moins bonne solution;Une moins bonne solution;Une solution égale;Moyennement important;Peu important;Moyennement important;Moyennement important;Fort important;Fort important;Moyennement important;Moyennement important;Fort important;Fort important;Fort important;Fort important;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;20 000 km
1/9/2022 21:57:39;Femme;40;Liège;En périphérie;4041;Entre 15 000 et 20 000;Moins de 10 000;Ont diminué;Secondaire;Chômeur;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Non;Non;1;4;Non;Une solution égale;Une solution égale;Une solution égale;Une moins bonne solution;Fort important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Peu intéressé.e;Peu intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;10 000 km
1/9/2022 22:12:48;Homme;64;Région de Bruxelles-Capitale;En périphérie;1030;Entre 10 000 et 15 000;Entre 10 000 et 15 000;sont restés stables;Bachelier;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;2;5;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Très important;Fort important;Très important;Très important;Fort important;Très important;Très important;Très important;Fort important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/9/2022 23:00:04;Femme;53;Namur;A la campagne;5300;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Secondaire;Employé;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Non;Non;2;5;Non;Une solution égale;Une solution égale;Une moins bonne solution;Une meilleure solution;Moyennement important;Peu important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Moyennement important;Peu intéressé.e;Peu intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;20 000 km
1/10/2022 8:32:48;Femme;59;Région de Bruxelles-Capitale;En périphérie;1130;Entre 15 000 et 20 000;Moins de 10 000;Ont augmenté;Secondaire;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;4;5;Oui, je le voulais avant la Covid-19 et je le désire encore plus;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Moyennement important;Fort important;Très important;Très important;Moyennement important;Très important;Très important;Très important;Très important;Fort important;Moyennement important;Très important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;20 000 km
1/12/2022 11:00:55;Homme;42;Liège;En périphérie;4000;Moins de 10 000;Moins de 10 000;sont restés stables;Secondaire;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;1;4;Non;Une moins bonne solution;Une meilleure solution;Une moins bonne solution;Une solution égale;Très important;Peu important;Fort important;Très important;Très important;Très important;Très important;Très important;Fort important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/12/2022 11:53:00;Homme;30;Namur;En périphérie;5004;Plus de 20 000;Plus de 20 000;Ont diminué;Secondaire;Employé;Non;Je me débrouille avec mon revenu actuel;Oui;Non;Non;Oui;2;3;Non;Une meilleure solution;Une solution égale;Une solution égale;Une solution égale;Pas du tout important;Peu important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout important;Pas du tout intéressé.e;Moyennement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;20 000 km
1/13/2022 14:01:17;Homme;38;Liège;En périphérie;4530;Plus de 20 000;Entre 15 000 et 20 000;sont restés stables;Master;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;5;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une moins bonne solution;Une moins bonne solution;Une solution égale;Une moins bonne solution;Fort important;Peu important;Fort important;Fort important;Moyennement important;Très important;Très important;Très important;Fort important;Très important;Très important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;20 000 km
1/13/2022 14:20:46;Femme;58;Liège;En périphérie;4683;Moins de 10 000;Moins de 10 000;sont restés stables;Bachelier;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Non;1;4;Non;Une solution égale;Une solution égale;Une solution égale;Une meilleure solution;Très important;Peu important;Fort important;Fort important;Peu important;Très important;Fort important;Fort important;Fort important;Très important;Très important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;5 000 km
1/13/2022 15:16:05;Femme;24;Liège;A la campagne;4360;Entre 10 000 et 15 000;Entre 10 000 et 15 000;Ont diminué;Bachelier;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;1;3;Non;Une solution égale;Une meilleure solution;Une solution égale;Une solution égale;Fort important;Fort important;Fort important;Fort important;Moyennement important;Fort important;Fort important;Fort important;Très important;Fort important;Fort important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/13/2022 16:47:52;Femme;33;Liège;A la campagne;4530;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Bachelier;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Non;1;3;Non;Une moins bonne solution;Une meilleure solution;Une meilleure solution;Une solution égale;Très important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Fort important;Fort important;Fort important;Moyennement important;Un peu intéressé.e;Un peu intéressé.e;Peu intéressé.e;Moyennement intéressé.e;10 000 km
1/13/2022 19:36:19;Homme;20;Liège;A la campagne;4690;Moins de 10 000;Moins de 10 000;sont restés stables;Secondaire;Employé;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;3;Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19);Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Une moins bonne solution;Très important;Moyennement important;Fort important;Très important;Fort important;Peu important;Très important;Très important;Fort important;Très important;Fort important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;1 000 km
1/13/2022 21:34:26;Femme;44;Liège;A la campagne;4520;Moins de 10 000;Moins de 10 000;Ont diminué;Bachelier;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;1;3;Non;Une meilleure solution;Une solution égale;Une solution égale;Une solution égale;Très important;Moyennement important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;5 000 km
1/14/2022 9:18:51;Femme;35;Liège;A la campagne;4690;Plus de 20 000;Plus de 20 000;sont restés stables;Secondaire;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Non;1;4;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Fort important;Très important;Fort important;Fort important;Un peu intéressé.e;Un peu intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;20 000 km
1/14/2022 11:50:38;Femme;24;Liège;A la campagne;4890;Entre 10 000 et 15 000;Moins de 10 000;Ont diminué;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Oui;Oui;3;3;Non;Une solution égale;Une meilleure solution;Une meilleure solution;Une solution égale;Moyennement important;Peu important;Fort important;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;10 000 km
1/22/2022 11:12:59;Homme;65;Liège;En périphérie;4621;Entre 15 000 et 20 000;Entre 10 000 et 15 000;Ont diminué;Secondaire;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;3;5;Non;Une moins bonne solution;Une meilleure solution;Une solution égale;Une solution égale;Très important;Peu important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;Fortement intéressé.e;5 000 km
1/24/2022 0:10:40;Homme;31;Liège;En centre ville;4000;Moins de 10 000;Moins de 10 000;Ont diminué;Secondaire;Employé;Non;Il est difficile de vivre avec mon revenu actuel;Non;Non;Oui;Oui;3;2;Non;Une moins bonne solution;Une solution égale;Une meilleure solution;Une moins bonne solution;Très important;Peu important;Peu important;Très important;Très important;Très important;Très important;Très important;Peu important;Fort important;Fort important;Moyennement important;Fortement intéressé.e;Fortement intéressé.e;Pas du tout intéressé.e;Pas du tout intéressé.e;20 000 km
1/24/2022 10:03:22;Femme;54;Liège;A la campagne;4621;Entre 15 000 et 20 000;Entre 15 000 et 20 000;Ont augmenté;Secondaire;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Non;1;5;Non;Une moins bonne solution;Une solution égale;Une solution égale;Une moins bonne solution;Fort important;Fort important;Très important;Très important;Très important;Très important;Très important;Très important;Fort important;Fort important;Très important;Très important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;10 000 km
1/24/2022 13:48:09;Homme;70;Liège;A la campagne;4120;Entre 10 000 et 15 000;Entre 10 000 et 15 000;Ont diminué;Master;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Non;Oui;4;3;Non;Une moins bonne solution;Une moins bonne solution;Une solution égale;Une meilleure solution;Pas du tout important;Fort important;Très important;Très important;Très important;Fort important;Très important;Très important;Moyennement important;Fort important;Fort important;Fort important;Fortement intéressé.e;Fortement intéressé.e;Moyennement intéressé.e;Moyennement intéressé.e;20 000 km
1/25/2022 10:12:21;Homme;80;Liège;En périphérie;4460;Plus de 20 000;Entre 15 000 et 20 000;Ont diminué;Master;Retraité;Non;Je me débrouille avec mon revenu actuel;Non;Non;Oui;Oui;2;3;Non;Une moins bonne solution;Une solution égale;Une moins bonne solution;Une moins bonne solution;Pas du tout important;Moyennement important;Fort important;Fort important;Fort important;Très important;Fort important;Fort important;Fort important;Très important;Très important;Fort important;Moyennement intéressé.e;Moyennement intéressé.e;Un peu intéressé.e;Un peu intéressé.e;5 000 km
1/26/2022 16:28:33;Homme;49;Liège;En périphérie;4052;Plus de 20 000;Plus de 20 000;sont restés stables;Master;Employé;Non;Je vis confortablement avec mon revenu actuel;Non;Non;Non;Oui;3;3;Non;Une solution égale;Une solution égale;Une solution égale;Une solution égale;Moyennement important;Peu important;Très important;Très important;Fort important;Fort important;Très important;Très important;Fort important;Fort important;Fort important;Très important;Fortement intéressé.e;Un peu intéressé.e;Fortement intéressé.e;Fortement intéressé.e;10 000 km
