sex,age,Province,livingPlace,zipCode,kmYear_beforeCovid,kmYear_afterCovid,BeforeAfterCovid,studyYear,Profession,environment_Know,revenu,had_Inondation,had_Fire,had_Pollution,H2_Know,know_Evaluation,h2_VS_envi,carH2_idea,conventional_car,hybrides_car,electric_car,gaz_car,subject_know,law_elaboration,h2_purchasePrice,h2_price,otherfuel_price,h2_security,h2_station,h2_automony,dimImportation,gazReduction,atmos_reduction_urban,Belgium_company,everything_equal,subside,diesel_no_in_town,essence_no_in_town,km_limitation
Homme,25,Liège,En périphérie,4400,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Etudiant,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une solution égale,Peu important,Moyennement important,Fort important,Très important,Très important,Très important,Très important,Très important,Peu important,Moyennement important,Moyennement important,Pas du tout important,Peu intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,1 000 km
Homme,27,Liège,En centre ville,4030,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Peu important,Peu important,Fort important,Fort important,Fort important,Moyennement important,Très important,Fort important,Peu important,Moyennement important,Moyennement important,Moyennement important,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,59,Région de Bruxelles-Capitale,En centre ville,1040,Moins de 10 000,Moins de 10 000,sont restés stables,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,1,3,Non,Une meilleure solution,Une meilleure solution,Une solution égale,Une solution égale,Fort important,Pas du tout important,Très important,Très important,Très important,Fort important,Très important,Très important,Peu important,Pas du tout important,Peu important,Moyennement important,Pas du tout intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,68,Liège,En périphérie,4102,Moins de 10 000,Moins de 10 000,Ont diminué,Graduat,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,4,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Fort important,Peu important,Fort important,Fort important,Très important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,5 000 km
Femme,25,Liège,A la campagne,4540,Moins de 10 000,Plus de 20 000,Ont augmenté,Master,Indépendant,Oui,Il est très difficile de vivre avec mon revenu actuel.,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Très important,Fort important,Très important,Très important,Fort important,Fort important,Très important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,20 000 km
Femme,22,Liège,A la campagne,4550,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,2,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Peu important,Peu important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Moyennement important,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Femme,24,Liège,En périphérie,4101,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Etudiant,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Oui,Non,1,3,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Très important,Peu important,Très important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,24,Liège,En périphérie,4000,Moins de 10 000,Moins de 10 000,Ont augmenté,Bachelier,Employé,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Oui,Oui,1,3,Non,Une solution égale,Une meilleure solution,Une solution égale,Une moins bonne solution,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Fort important,Peu important,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,10 000 km
Femme,24,Liège,En centre ville,4000,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Non,1,5,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Pas du tout important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Peu important,Très important,Très important,Peu important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,19,Liège,En périphérie,4032,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Etudiant,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,2,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une meilleure solution,Une solution égale,Une moins bonne solution,Une solution égale,Moyennement important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Pas du tout important,Pas du tout important,Pas du tout important,Très important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,24,Liège,En centre ville,4000,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une moins bonne solution,Très important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Très important,Très important,Très important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Un peu intéressé.e,Pas du tout intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,72,Liège,En périphérie,4051,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,1,4,Non,Une solution égale,Une meilleure solution,Une moins bonne solution,Une solution égale,Moyennement important,Peu important,Très important,Très important,Moyennement important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,10 000 km
Homme,25,Liège,En centre ville,4000,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Oui,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une moins bonne solution,Peu important,Peu important,Peu important,Moyennement important,Peu important,Peu important,Moyennement important,Peu important,Fort important,Très important,Très important,Moyennement important,Peu intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,1 000 km
Homme,24,Liège,A la campagne,4900,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Indépendant,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,2,4,Non,Une solution égale,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Fort important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Fort important,Moyennement important,Moyennement important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,20 000 km
Homme,22,Brabant Wallon,En centre ville,1348,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Etudiant,Non,Il est difficile de vivre avec mon revenu actuel,Oui,Non,Oui,Oui,4,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Très important,Très important,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,1 000 km
Homme,66,Région de Bruxelles-Capitale,En centre ville,1040,Entre 15 000 et 20 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Il est difficile de vivre avec mon revenu actuel,Oui,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,5 000 km
Homme,37,Liège,En périphérie,4161,Entre 15 000 et 20 000,Entre 15 000 et 20 000,sont restés stables,Doctorat,Employé,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Oui,Oui,5,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une meilleure solution,Une meilleure solution,Une solution égale,Une moins bonne solution,Très important,Peu important,Moyennement important,Moyennement important,Fort important,Très important,Très important,Fort important,Moyennement important,Très important,Très important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Femme,49,Liège,En périphérie,4430,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,2,5,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Très important,Fort important,Très important,Moyennement important,Très important,Très important,Très important,Fortement intéressé.e,Un peu intéressé.e,Pas du tout intéressé.e,Moyennement intéressé.e,10 000 km
Femme,24,Brabant Wallon,En périphérie,4460,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une solution égale,Très important,Moyennement important,Très important,Fort important,Fort important,Fort important,Très important,Fort important,Fort important,Très important,Moyennement important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,54,Liège,En périphérie,4030,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Indépendant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,2,4,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,56,Hainaut,A la campagne,7950,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une solution égale,Moyennement important,Peu important,Moyennement important,Moyennement important,Fort important,Fort important,Moyennement important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Femme,40,Liège,En périphérie,4041,Entre 15 000 et 20 000,Moins de 10 000,Ont diminué,Secondaire,Chômeur,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une solution égale,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Peu intéressé.e,Peu intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,10 000 km
Homme,64,Région de Bruxelles-Capitale,En périphérie,1030,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,2,5,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Fort important,Très important,Très important,Fort important,Très important,Très important,Très important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Femme,53,Namur,A la campagne,5300,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Secondaire,Employé,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Non,Non,2,5,Non,Une solution égale,Une solution égale,Une moins bonne solution,Une meilleure solution,Moyennement important,Peu important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Peu intéressé.e,Peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Femme,59,Région de Bruxelles-Capitale,En périphérie,1130,Entre 15 000 et 20 000,Moins de 10 000,Ont augmenté,Secondaire,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,4,5,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Moyennement important,Fort important,Très important,Très important,Moyennement important,Très important,Très important,Très important,Très important,Fort important,Moyennement important,Très important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,42,Liège,En périphérie,4000,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une moins bonne solution,Une meilleure solution,Une moins bonne solution,Une solution égale,Très important,Peu important,Fort important,Très important,Très important,Très important,Très important,Très important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,30,Namur,En périphérie,5004,Plus de 20 000,Plus de 20 000,Ont diminué,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Non,Oui,2,3,Non,Une meilleure solution,Une solution égale,Une solution égale,Une solution égale,Pas du tout important,Peu important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout important,Pas du tout intéressé.e,Moyennement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,20 000 km
Homme,38,Liège,En périphérie,4530,Plus de 20 000,Entre 15 000 et 20 000,sont restés stables,Master,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,5,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Peu important,Fort important,Fort important,Moyennement important,Très important,Très important,Très important,Fort important,Très important,Très important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,20 000 km
Femme,58,Liège,En périphérie,4683,Moins de 10 000,Moins de 10 000,sont restés stables,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une solution égale,Une solution égale,Une solution égale,Une meilleure solution,Très important,Peu important,Fort important,Fort important,Peu important,Très important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,5 000 km
Femme,24,Liège,A la campagne,4360,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une solution égale,Une meilleure solution,Une solution égale,Une solution égale,Fort important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Très important,Fort important,Fort important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Femme,33,Liège,A la campagne,4530,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Bachelier,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une moins bonne solution,Une meilleure solution,Une meilleure solution,Une solution égale,Très important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Fort important,Fort important,Moyennement important,Un peu intéressé.e,Un peu intéressé.e,Peu intéressé.e,Moyennement intéressé.e,10 000 km
Homme,20,Liège,A la campagne,4690,Moins de 10 000,Moins de 10 000,sont restés stables,Secondaire,Employé,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,3,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Fort important,Très important,Fort important,Peu important,Très important,Très important,Fort important,Très important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,1 000 km
Femme,44,Liège,A la campagne,4520,Moins de 10 000,Moins de 10 000,Ont diminué,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,1,3,Non,Une meilleure solution,Une solution égale,Une solution égale,Une solution égale,Très important,Moyennement important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,5 000 km
Femme,35,Liège,A la campagne,4690,Plus de 20 000,Plus de 20 000,sont restés stables,Secondaire,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,4,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Fort important,Fort important,Un peu intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,20 000 km
Femme,24,Liège,A la campagne,4890,Entre 10 000 et 15 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,3,3,Non,Une solution égale,Une meilleure solution,Une meilleure solution,Une solution égale,Moyennement important,Peu important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,10 000 km
Homme,65,Liège,En périphérie,4621,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,5,Non,Une moins bonne solution,Une meilleure solution,Une solution égale,Une solution égale,Très important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,5 000 km
Homme,31,Liège,En centre ville,4000,Moins de 10 000,Moins de 10 000,Ont diminué,Secondaire,Employé,Non,Il est difficile de vivre avec mon revenu actuel,Non,Non,Oui,Oui,3,2,Non,Une moins bonne solution,Une solution égale,Une meilleure solution,Une moins bonne solution,Très important,Peu important,Peu important,Très important,Très important,Très important,Très important,Très important,Peu important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Femme,54,Liège,A la campagne,4621,Entre 15 000 et 20 000,Entre 15 000 et 20 000,Ont augmenté,Secondaire,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,5,Non,Une moins bonne solution,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Fort important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,70,Liège,A la campagne,4120,Entre 10 000 et 15 000,Entre 10 000 et 15 000,Ont diminué,Master,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,4,3,Non,Une moins bonne solution,Une moins bonne solution,Une solution égale,Une meilleure solution,Pas du tout important,Fort important,Très important,Très important,Très important,Fort important,Très important,Très important,Moyennement important,Fort important,Fort important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,80,Liège,En périphérie,4460,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Master,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Oui,Oui,2,3,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Pas du tout important,Moyennement important,Fort important,Fort important,Fort important,Très important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Moyennement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,5 000 km
Homme,49,Liège,En périphérie,4052,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Moyennement important,Peu important,Très important,Très important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Fort important,Très important,Fortement intéressé.e,Un peu intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,64,Liège,A la campagne,4520,Entre 15 000 et 20 000,Moins de 10 000,Ont diminué,Secondaire,Retraité,Non,Il est difficile de vivre avec mon revenu actuel,Non,Oui,Non,Oui,2,4,Non,Une solution égale,Une moins bonne solution,Une moins bonne solution,Une solution égale,Fort important,Moyennement important,Fort important,Très important,Fort important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,70,Liège,En périphérie,4041,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Retraité,Oui,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,4,2,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Peu important,Peu important,Peu important,Peu important,Fort important,Très important,Très important,Peu important,Moyennement important,Très important,Très important,Très important,Pas du tout intéressé.e,Pas du tout intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Homme,65,Brabant Wallon,A la campagne,1370,Plus de 20 000,Plus de 20 000,Ont diminué,Master,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,3,4,"Oui, je le voulais avant la Covid-19 et je le désire encore plus",Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Fort important,Fort important,Fort important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Très important,Un peu intéressé.e,Fortement intéressé.e,Pas du tout intéressé.e,Pas du tout intéressé.e,20 000 km
Homme,59,Luxembourg,A la campagne,6990,Plus de 20 000,Plus de 20 000,Ont diminué,Master,Indépendant,Non,Je vis confortablement avec mon revenu actuel,Oui,Non,Non,Oui,4,3,Non,Une meilleure solution,Une meilleure solution,Une meilleure solution,Une meilleure solution,Pas du tout important,Peu important,Moyennement important,Moyennement important,Fort important,Peu important,Très important,Très important,Fort important,Très important,Très important,Très important,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Homme,61,Liège,A la campagne,4537,Plus de 20 000,Entre 15 000 et 20 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une moins bonne solution,Fort important,Pas du tout important,Fort important,Fort important,Peu important,Fort important,Très important,Fort important,Moyennement important,Fort important,Fort important,Moyennement important,Fortement intéressé.e,Fortement intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,20 000 km
Femme,44,Liège,En périphérie,4400,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une solution égale,Une solution égale,Une solution égale,Une moins bonne solution,Fort important,Peu important,Fort important,Très important,Très important,Très important,Très important,Fort important,Moyennement important,Fort important,Fort important,Fort important,Moyennement intéressé.e,Un peu intéressé.e,Peu intéressé.e,Moyennement intéressé.e,10 000 km
Homme,66,Liège,En périphérie,4800,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Secondaire,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Oui,1,4,Non,Une meilleure solution,Une meilleure solution,Une moins bonne solution,Une solution égale,Très important,Peu important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Très important,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,Fortement intéressé.e,10 000 km
Femme,25,Liège,En périphérie,4540,Moins de 10 000,Moins de 10 000,Ont diminué,Master,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une solution égale,Une solution égale,Une solution égale,Une solution égale,Très important,Pas du tout important,Très important,Très important,Moyennement important,Fort important,Fort important,Moyennement important,Moyennement important,Fort important,Fort important,Peu important,Un peu intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,73,Luxembourg,En périphérie,6820,Entre 15 000 et 20 000,Entre 10 000 et 15 000,Ont diminué,Master,Indépendant,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,3,Non,Une moins bonne solution,Une moins bonne solution,Une meilleure solution,Une solution égale,Fort important,Pas du tout important,Fort important,Fort important,Fort important,Très important,Fort important,Fort important,Fort important,Très important,Très important,Très important,Un peu intéressé.e,Un peu intéressé.e,Un peu intéressé.e,Fortement intéressé.e,5 000 km
Homme,56,Liège,A la campagne,4052,Plus de 20 000,Plus de 20 000,sont restés stables,Doctorat,Employé,Non,Je vis très confortablement avec mon revenu actuel,Non,Non,Non,Oui,3,4,Non,Une moins bonne solution,Une solution égale,Une moins bonne solution,Une moins bonne solution,Très important,Moyennement important,Très important,Très important,Fort important,Très important,Très important,Très important,Très important,Très important,Très important,Fort important,Fortement intéressé.e,Fortement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,54,Liège,En centre ville,4000,Plus de 20 000,Plus de 20 000,Ont diminué,Bachelier,Employé,Non,Je vis confortablement avec mon revenu actuel,Non,Non,Oui,Oui,4,4,"Oui, mais finalement je me suis dirigé.e vers autre chose (autre raison que la Covid-19)",Une moins bonne solution,Une moins bonne solution,Une solution égale,Une moins bonne solution,Fort important,Peu important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Moyennement important,Très important,Très important,Fort important,Fortement intéressé.e,Un peu intéressé.e,Moyennement intéressé.e,Moyennement intéressé.e,10 000 km
Homme,64,Namur,En périphérie,5001,Plus de 20 000,Plus de 20 000,sont restés stables,Master,Indépendant,Non,Je me débrouille avec mon revenu actuel,Oui,Non,Oui,Oui,2,3,Non,Une solution égale,Une moins bonne solution,Une meilleure solution,Une meilleure solution,Fort important,Fort important,Fort important,Fort important,Fort important,Fort important,Très important,Très important,Fort important,Fort important,Fort important,Fort important,Moyennement intéressé.e,Moyennement intéressé.e,Un peu intéressé.e,Un peu intéressé.e,20 000 km
Homme,70,Liège,En périphérie,4420,Entre 10 000 et 15 000,Entre 10 000 et 15 000,sont restés stables,Bachelier,Retraité,Non,Je me débrouille avec mon revenu actuel,Non,Non,Non,Non,1,3,Non,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Une moins bonne solution,Très important,Pas du tout important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Moyennement important,Peu intéressé.e,Peu intéressé.e,Pas du tout intéressé.e,Moyennement intéressé.e,10 000 km
